# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	1661685	1663843	-	XP_002892249.1		XM_002892203.1	high mobility group family protein		9328311	ARALYDRAFT_470473	1347	448	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	2095258	2103619	+	XM_002889524.1		XP_002889570.1	hypothetical protein		9325634	ARALYDRAFT_311665	3621	3621	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	2095258	2103619	+	XP_002889570.1		XM_002889524.1	hypothetical protein		9325634	ARALYDRAFT_311665	3621	1206	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	2210904	2217006	-	XM_002892276.1		XP_002892322.1	hypothetical protein		9325652	ARALYDRAFT_311694	3990	3990	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	2210904	2217006	-	XP_002892322.1		XM_002892276.1	hypothetical protein		9325652	ARALYDRAFT_311694	3990	1329	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	2248768	2250182	+	XM_002889545.1		XP_002889591.1	VHS domain-containing protein		9328390	ARALYDRAFT_311699	1152	1152	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	2248768	2250182	+	XP_002889591.1		XM_002889545.1	VHS domain-containing protein		9328390	ARALYDRAFT_311699	1152	383	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	2960274	2960887	+	XM_002889630.1		XP_002889676.1	hypothetical protein		9328490	ARALYDRAFT_470850	586	586	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	2960371	2960805	+	XP_002889676.1		XM_002889630.1	hypothetical protein		9328490	ARALYDRAFT_470850	435	144	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3159914	3166472	+	XM_002889646.1		XP_002889692.1	kelch repeat-containing protein		9325756	ARALYDRAFT_888073	3095	3095	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3159934	3166451	+	XP_002889692.1		XM_002889646.1	kelch repeat-containing protein		9325756	ARALYDRAFT_888073	3054	1017	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3392832	3396198	+	XM_002889676.1		XP_002889722.1	hypothetical protein		9325786	ARALYDRAFT_470966	1842	1842	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3393031	3395959	+	XP_002889722.1		XM_002889676.1	hypothetical protein		9325786	ARALYDRAFT_470966	1416	471	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3429536	3434386	-	XM_002892431.1		XP_002892477.1	hypothetical protein		9328539	ARALYDRAFT_470981	2240	2240	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3429778	3433781	-	XP_002892477.1		XM_002892431.1	hypothetical protein		9328539	ARALYDRAFT_470981	1440	479	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3476037	3479461	+	XM_002889687.1		XP_002889733.1	hypothetical protein		9328544	ARALYDRAFT_470991	2304	2304	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3476039	3479424	+	XP_002889733.1		XM_002889687.1	hypothetical protein		9328544	ARALYDRAFT_470991	2265	754	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3528455	3532039	-	XM_002892448.1		XP_002892494.1	RNA recognition motif-containing protein		9328556	ARALYDRAFT_471012	1483	1483	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3528566	3531984	-	XP_002892494.1		XM_002892448.1	RNA recognition motif-containing protein		9328556	ARALYDRAFT_471012	1317	438	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3980729	3983704	+	XM_002889752.1		XP_002889798.1	glutamine-rich protein23	GRP23	9328619	ARALYDRAFT_471138	2976	2976	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	3980760	3983501	+	XP_002889798.1		XM_002889752.1	glutamine-rich protein23	GRP23	9328619	ARALYDRAFT_471138	2742	913	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	4384204	4386499	+	XM_002889799.1		XP_002889845.1	kinase family protein		9328678	ARALYDRAFT_471239	2011	2011	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	4384204	4386090	+	XP_002889845.1		XM_002889799.1	kinase family protein		9328678	ARALYDRAFT_471239	1887	628	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5076112	5082289	+	XM_002889891.1		XP_002889937.1	T12C24.2		9328753	ARALYDRAFT_334537	3021	3021	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5076112	5082289	+	XP_002889937.1		XM_002889891.1	T12C24.2		9328753	ARALYDRAFT_334537	3021	1006	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5686806	5688893	-	XM_002892714.1		XP_002892760.1	hypothetical protein		9328822	ARALYDRAFT_471517	1239	1239	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5687113	5688867	-	XP_002892760.1		XM_002892714.1	hypothetical protein		9328822	ARALYDRAFT_471517	927	308	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5735161	5737837	-	XM_002892718.1		XP_002892764.1	phosphatidylinositol 3-and 4-kinase family protein		9326077	ARALYDRAFT_471527	2375	2375	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5735339	5737210	-	XP_002892764.1		XM_002892718.1	phosphatidylinositol 3-and 4-kinase family protein		9326077	ARALYDRAFT_471527	1872	623	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5797784	5799391	+	XM_002889975.1		XP_002890021.1	F16A14.1		9326083	ARALYDRAFT_471537	1413	1413	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5797784	5799346	+	XP_002890021.1		XM_002889975.1	F16A14.1		9326083	ARALYDRAFT_471537	1368	455	partial
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5827139	5829473	+	XM_002889979.1		XP_002890025.1	ELM2 domain-containing protein		9328841	ARALYDRAFT_471548	1674	1674	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5827867	5829226	+	XP_002890025.1		XM_002889979.1	ELM2 domain-containing protein		9328841	ARALYDRAFT_471548	1272	423	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5986967	5989434	+	XM_002889998.1		XP_002890044.1	predicted protein		9328859	ARALYDRAFT_679147	1515	1515	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5986967	5989434	+	XP_002890044.1		XM_002889998.1	hypothetical protein		9328859	ARALYDRAFT_679147	1515	504	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5990881	5993896	+	XM_002889999.1		XP_002890045.1	nucleoside phosphatase family protein		9326107	ARALYDRAFT_471586	1690	1690	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	5991115	5993715	+	XP_002890045.1		XM_002889999.1	nucleoside phosphatase family protein		9326107	ARALYDRAFT_471586	1458	485	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6080890	6082287	-	XM_002892761.1		XP_002892807.1	hypothetical protein		9328869	ARALYDRAFT_471620	525	525	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6082048	6082269	-	XP_002892807.1		XM_002892761.1	hypothetical protein		9328869	ARALYDRAFT_471620	222	73	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6363843	6366848	-	XM_002892796.1		XP_002892842.1	hypothetical protein		9328904	ARALYDRAFT_471685	1823	1823	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6363994	6366848	-	XP_002892842.1		XM_002892796.1	hypothetical protein		9328904	ARALYDRAFT_471685	1686	561	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6454489	6455885	-	XM_002892811.1		XP_002892857.1	hypothetical protein		9326159	ARALYDRAFT_471721	441	441	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6454671	6455800	-	XP_002892857.1		XM_002892811.1	hypothetical protein		9326159	ARALYDRAFT_471721	195	64	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6612784	6614025	+	XM_002890072.1		XP_002890118.1	hypothetical protein		9326180	ARALYDRAFT_471762	1242	1242	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6612784	6614025	+	XP_002890118.1		XM_002890072.1	hypothetical protein		9326180	ARALYDRAFT_471762	1242	413	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6630725	6633173	-	XM_002892830.1		XP_002892876.1	hypothetical protein		9326185	ARALYDRAFT_888963	1382	1382	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6630745	6633152	-	XP_002892876.1		XM_002892830.1	hypothetical protein		9326185	ARALYDRAFT_888963	1341	446	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6805425	6808094	+	XM_002890107.1		XP_002890153.1	hypothetical protein		9328959	ARALYDRAFT_312599	1095	1095	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	6805425	6808094	+	XP_002890153.1		XM_002890107.1	hypothetical protein		9328959	ARALYDRAFT_312599	1095	364	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	7411810	7414991	+	XM_002890196.1		XP_002890242.1	hypothetical protein		9326304	ARALYDRAFT_335032	2328	2328	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	7411810	7414991	+	XP_002890242.1		XM_002890196.1	hypothetical protein		9326304	ARALYDRAFT_335032	2328	775	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	7449333	7450461	+	XM_002890199.1		XP_002890245.1	SNF7 family protein		9329028	ARALYDRAFT_889183	653	653	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	7449354	7450441	+	XP_002890245.1		XM_002890199.1	SNF7 family protein		9329028	ARALYDRAFT_889183	612	203	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	7569373	7571580	+	XM_002890212.1		XP_002890258.1	hypothetical protein		9326320	ARALYDRAFT_312763	1026	1026	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	7569373	7571580	+	XP_002890258.1		XM_002890212.1	hypothetical protein		9326320	ARALYDRAFT_312763	1026	341	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8006365	8008989	+	XM_002890259.1		XP_002890305.1	pentatricopeptide repeat-containing protein		9329085	ARALYDRAFT_889321	2625	2625	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8006386	8008968	+	XP_002890305.1		XM_002890259.1	pentatricopeptide repeat-containing protein		9329085	ARALYDRAFT_889321	2583	860	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8279554	8282963	-	XM_002893006.1		XP_002893052.1	hypothetical protein		9326404	ARALYDRAFT_472174	1896	1896	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8279775	8282715	-	XP_002893052.1		XM_002893006.1	hypothetical protein		9326404	ARALYDRAFT_472174	1464	487	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8311910	8314103	+	XM_002890300.1		XP_002890346.1	hypothetical protein		9326408	ARALYDRAFT_472180	1024	1024	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8311933	8314010	+	XP_002890346.1		XM_002890300.1	hypothetical protein		9326408	ARALYDRAFT_472180	927	308	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8396304	8397123	-	XM_002893022.1		XP_002893068.1	predicted protein		9329129	ARALYDRAFT_889416	820	820	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8396324	8397103	-	XP_002893068.1		XM_002893022.1	hypothetical protein		9329129	ARALYDRAFT_889416	780	259	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8656959	8658332	-	XM_002893052.1		XP_002893098.1	hypothetical protein		9329159	ARALYDRAFT_472261	1358	1358	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8657143	8658240	-	XP_002893098.1		XM_002893052.1	hypothetical protein		9329159	ARALYDRAFT_472261	1098	365	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8737907	8738896	-	XM_002893065.1		XP_002893111.1	hypothetical protein		9329172	ARALYDRAFT_889495	851	851	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8737943	8738876	-	XP_002893111.1		XM_002893065.1	hypothetical protein		9329172	ARALYDRAFT_889495	795	264	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8777811	8780319	-	XM_002893071.1		XP_002893117.1	F2D10.3		9326454	ARALYDRAFT_312970	1707	1707	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8777811	8780319	-	XP_002893117.1		XM_002893071.1	F2D10.3		9326454	ARALYDRAFT_312970	1707	568	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8844870	8846773	+	XM_002890352.1		XP_002890398.1	predicted protein		9329188	ARALYDRAFT_679835	753	753	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8844870	8846773	+	XP_002890398.1		XM_002890352.1	hypothetical protein		9329188	ARALYDRAFT_679835	753	250	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8865835	8867215	+	XM_002890357.1		XP_002890403.1	homeobox-leucine zipper family protein		9326465	ARALYDRAFT_335316	621	621	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8865835	8867215	+	XP_002890403.1		XM_002890357.1	homeobox-leucine zipper family protein		9326465	ARALYDRAFT_335316	621	206	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8867831	8868607	+	XM_002890358.1		XP_002890404.1	homeobox-leucine zipper family protein		9326466	ARALYDRAFT_312981	594	594	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8867831	8868607	+	XP_002890404.1		XM_002890358.1	homeobox-leucine zipper family protein		9326466	ARALYDRAFT_312981	594	197	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8964208	8968945	+	XM_002890369.1		XP_002890415.1	hypothetical protein		9329200	ARALYDRAFT_472328	4343	4343	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	8965543	8968026	+	XP_002890415.1		XM_002890369.1	hypothetical protein		9329200	ARALYDRAFT_472328	2484	827	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	9221438	9222971	-	XM_002893115.1		XP_002893161.1	hypothetical protein		9329222	ARALYDRAFT_472375	1064	1064	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	9221651	9222855	-	XP_002893161.1		XM_002893115.1	hypothetical protein		9329222	ARALYDRAFT_472375	735	244	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	9442088	9444974	+	XM_002890416.1		XP_002890462.1	hypothetical protein		9326524	ARALYDRAFT_889647	1551	1551	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	9442112	9444953	+	XP_002890462.1		XM_002890416.1	hypothetical protein		9326524	ARALYDRAFT_889647	1506	501	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	9778182	9778874	+	XM_002890459.1		XP_002890505.1	hypothetical protein		9326567	ARALYDRAFT_335470	609	609	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	9778182	9778874	+	XP_002890505.1		XM_002890459.1	hypothetical protein		9326567	ARALYDRAFT_335470	609	202	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	9957373	9959226	-	XM_002893194.1		XP_002893240.1	hypothetical protein		9326583	ARALYDRAFT_472499	1279	1279	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	9957538	9959197	-	XP_002893240.1		XM_002893194.1	hypothetical protein		9326583	ARALYDRAFT_472499	1140	379	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	10294343	10296305	+	XM_002890530.1		XP_002890576.1	glycosyl hydrolase family 9 protein		9326638	ARALYDRAFT_335563	1470	1470	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	10294343	10296305	+	XP_002890576.1		XM_002890530.1	glycosyl hydrolase family 9 protein		9326638	ARALYDRAFT_335563	1470	489	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11008703	11010319	+	XM_002890578.1		XP_002890624.1	kelch repeat-containing F-box family protein		9329432	ARALYDRAFT_472706	1412	1412	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11009035	11010303	+	XP_002890624.1		XM_002890578.1	kelch repeat-containing F-box family protein		9329432	ARALYDRAFT_472706	1269	422	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11292416	11293547	+	XM_002890610.1		XP_002890656.1	hypothetical protein		9329466	ARALYDRAFT_890098	644	644	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11292437	11293527	+	XP_002890656.1		XM_002890610.1	hypothetical protein		9329466	ARALYDRAFT_890098	603	200	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11498904	11500196	+	XM_002890633.1		XP_002890679.1	cytochrome B561 family protein		9326741	ARALYDRAFT_313371	711	711	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11498904	11500196	+	XP_002890679.1		XM_002890633.1	cytochrome B561 family protein		9326741	ARALYDRAFT_313371	711	236	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11510706	11513379	+	XM_002890636.1		XP_002890682.1	ANAC008		9326744	ARALYDRAFT_890145	1422	1422	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11510727	11513358	+	XP_002890682.1		XM_002890636.1	ANAC008		9326744	ARALYDRAFT_890145	1380	459	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11633379	11635751	-	XM_002893383.1		XP_002893429.1	pentatricopeptide repeat-containing protein		9326756	ARALYDRAFT_472839	2373	2373	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11633379	11635751	-	XP_002893429.1		XM_002893383.1	pentatricopeptide repeat-containing protein		9326756	ARALYDRAFT_472839	2373	790	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11991993	11993406	+	XM_002890679.1		XP_002890725.1	60S ribosomal protein L17		9329527	ARALYDRAFT_472943	672	672	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	11991993	11993265	+	XP_002890725.1		XM_002890679.1	60S ribosomal protein L17		9329527	ARALYDRAFT_472943	531	176	partial
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	12006538	12007506	-	XM_002893421.1		XP_002893467.1	hypothetical protein		9329528	ARALYDRAFT_890267	291	291	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	12006558	12007481	-	XP_002893467.1		XM_002893421.1	hypothetical protein		9329528	ARALYDRAFT_890267	246	81	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	12350140	12353386	-	XM_002893458.1		XP_002893504.1	SCPL45		9326823	ARALYDRAFT_473017	1795	1795	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	12350654	12353330	-	XP_002893504.1		XM_002893458.1	SCPL45		9326823	ARALYDRAFT_473017	1389	462	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	12735981	12737352	+	XM_002890741.1		XP_002890787.1	hypothetical protein		9326849	ARALYDRAFT_473105	1010	1010	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	12735981	12737251	+	XP_002890787.1		XM_002890741.1	hypothetical protein		9326849	ARALYDRAFT_473105	909	302	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	12867604	12869551	+	XM_002890752.1		XP_002890798.1	hypothetical protein		9326860	ARALYDRAFT_890443	1767	1767	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	12867625	12869530	+	XP_002890798.1		XM_002890752.1	hypothetical protein		9326860	ARALYDRAFT_890443	1725	574	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	12996442	13000293	-	XM_002893523.1		XP_002893569.1	hypothetical protein		9329630	ARALYDRAFT_473159	2723	2723	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	12996584	12999530	-	XP_002893569.1		XM_002893523.1	hypothetical protein		9329630	ARALYDRAFT_473159	2316	771	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	13087885	13091240	-	XM_002893528.1		XP_002893574.1	hypothetical protein		9329635	ARALYDRAFT_473172	2231	2231	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	13088181	13090981	-	XP_002893574.1		XM_002893528.1	hypothetical protein		9329635	ARALYDRAFT_473172	1686	561	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	13368012	13369544	+	XM_002890809.1		XP_002890855.1	hypothetical protein		9329665	ARALYDRAFT_473234	1258	1258	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	13368021	13369396	+	XP_002890855.1		XM_002890809.1	hypothetical protein		9329665	ARALYDRAFT_473234	1101	366	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	13826313	13828205	+	XM_002890843.1		XP_002890889.1	FAD-binding domain-containing protein		9326951	ARALYDRAFT_890625	1627	1627	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	13826335	13828184	+	XP_002890889.1		XM_002890843.1	FAD-binding domain-containing protein		9326951	ARALYDRAFT_890625	1584	527	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	13894042	13894599	+	XM_002890853.1		XP_002890899.1	hypothetical protein		9326961	ARALYDRAFT_473310	558	558	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	13894103	13894410	+	XP_002890899.1		XM_002890853.1	hypothetical protein		9326961	ARALYDRAFT_473310	308	102	partial
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	14100654	14104244	-	XM_002893624.1		XP_002893670.1	hypothetical protein		9329731	ARALYDRAFT_473343	1559	1559	
