# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2887245	2887706	+	NM_179289.2		NP_849620.1	AP2/B3-like transcriptional factor family protein		837419	AT1G08985	462	462	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2887329	2887634	+	NP_849620.1		NM_179289.2	AP2/B3-like transcriptional factor family protein		837419	AT1G08985	306	101	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2899776	2904862	-	NM_100773.4		NP_563834.1	sucrose nonfermenting-like protein	SNF4	837423	AT1G09020	2487	2487	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2900149	2904212	-	NP_563834.1		NM_100773.4	sucrose nonfermenting-like protein	SNF4	837423	AT1G09020	1464	487	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2932739	2936586	+	NM_100780.3		NP_172383.3	respiratory burst oxidase-like protein	RBOHB	837430	AT1G09090	2701	2701	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2932739	2936586	+	NM_202070.1		NP_973799.1	respiratory burst oxidase-like protein	RBOHB	837430	AT1G09090	2627	2627	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2932743	2936495	+	NP_973799.1		NM_202070.1	respiratory burst oxidase-like protein	RBOHB	837430	AT1G09090	2532	843	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2932743	2935590	+	NP_172383.3		NM_100780.3	respiratory burst oxidase-like protein	RBOHB	837430	AT1G09090	1869	622	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2979511	2982713	-	NM_100793.4		NP_172394.1	RNA-binding (RRM/RBD/RNP motifs) family protein		837443	AT1G09230	1605	1605	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2979637	2982563	-	NP_172394.1		NM_100793.4	RNA-binding (RRM/RBD/RNP motifs) family protein		837443	AT1G09230	1329	442	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	3363432	3366493	+	NM_100901.3		NP_172498.1	glutamine-rich protein 23	GRP23	837566	AT1G10270	3062	3062	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	3363535	3366276	+	NP_172498.1		NM_100901.3	glutamine-rich protein 23	GRP23	837566	AT1G10270	2742	913	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	3681888	3684169	+	NM_100978.2		NP_172572.1	Protein kinase superfamily protein		837646	AT1G11050	2282	2282	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	3681892	3683769	+	NP_172572.1		NM_100978.2	Protein kinase superfamily protein		837646	AT1G11050	1878	625	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	3827851	3831068	-	NM_101010.2		NP_172604.1	Pectin lyase-like superfamily protein		837679	AT1G11370	1237	1237	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	3828098	3830945	-	NP_172604.1		NM_101010.2	Pectin lyase-like superfamily protein		837679	AT1G11370	867	288	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4250945	4257392	+	NM_101119.7		NP_172709.2	zinc ion binding protein		837804	AT1G12470	3323	3323	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4251359	4257201	+	NP_172709.2		NM_101119.7	zinc ion binding protein		837804	AT1G12470	2967	988	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4644521	4647142	-	NM_001198056.2		NP_001184985.1	LAG1 longevity assurance-like protein	LAG13	837919	AT1G13580	1702	1702	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4644559	4647142	-	NM_001035960.2		NP_001031037.1	LAG1 longevity assurance-like protein	LAG13	837919	AT1G13580	1751	1751	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4645006	4646765	-	NP_001184985.1		NM_001198056.2	LAG1 longevity assurance-like protein	LAG13	837919	AT1G13580	927	308	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4645006	4646765	-	NP_001031037.1		NM_001035960.2	LAG1 longevity assurance-like protein	LAG13	837919	AT1G13580	927	308	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4677004	4679862	-	NM_101234.4		NP_563930.1	Phosphatidylinositol 3- and 4-kinase family protein		837925	AT1G13640	2562	2562	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4677026	4679594	-	NM_001332079.1		NP_001322238.1	Phosphatidylinositol 3- and 4-kinase family protein		837925	AT1G13640	2492	2492	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4677276	4679144	-	NP_001322238.1		NM_001332079.1	Phosphatidylinositol 3- and 4-kinase family protein		837925	AT1G13640	1869	622	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4677276	4679144	-	NP_563930.1		NM_101234.4	Phosphatidylinositol 3- and 4-kinase family protein		837925	AT1G13640	1869	622	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4724544	4726558	+	NM_101246.6		NP_172833.2	F-box/RNI-like/FBD-like domains-containing protein		837938	AT1G13780	1752	1752	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4724681	4726314	+	NP_172833.2		NM_101246.6	F-box/RNI-like/FBD-like domains-containing protein		837938	AT1G13780	1371	456	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4748831	4751212	+	NM_101254.4		NP_172841.1	ELM2 domain-containing protein		837947	AT1G13880	1747	1747	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4749603	4750967	+	NP_172841.1		NM_101254.4	ELM2 domain-containing protein		837947	AT1G13880	1275	424	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4861168	4864094	+	NM_101289.5		NP_563942.1	GDA1/CD39 nucleoside phosphatase family protein		837984	AT1G14230	1944	1944	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4861497	4863991	+	NP_563942.1		NM_101289.5	GDA1/CD39 nucleoside phosphatase family protein		837984	AT1G14230	1512	503	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4864881	4868011	+	NM_001123812.2		NP_001117284.1	GDA1/CD39 nucleoside phosphatase family protein		837985	AT1G14240	1964	1964	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4864881	4868011	+	NM_101290.5		NP_172876.1	GDA1/CD39 nucleoside phosphatase family protein		837985	AT1G14240	1846	1846	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4864881	4868011	+	NM_202093.4		NP_973822.2	GDA1/CD39 nucleoside phosphatase family protein		837985	AT1G14240	1779	1779	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4865159	4867777	+	NP_172876.1		NM_101290.5	GDA1/CD39 nucleoside phosphatase family protein		837985	AT1G14240	1452	483	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4865159	4867777	+	NP_001117284.1		NM_001123812.2	GDA1/CD39 nucleoside phosphatase family protein		837985	AT1G14240	1452	483	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4865159	4867777	+	NP_973822.2		NM_202093.4	GDA1/CD39 nucleoside phosphatase family protein		837985	AT1G14240	1452	483	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4946192	4947616	-	NM_101312.3		NP_563952.1	NADH dehydrogenase (ubiquinone)s		838007	AT1G14450	601	601	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4946218	4947670	-	NM_001332119.1		NP_001322284.1	NADH dehydrogenase (ubiquinone)s		838007	AT1G14450	629	629	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4947337	4947630	-	NP_001322284.1		NM_001332119.1	NADH dehydrogenase (ubiquinone)s		838007	AT1G14450	294	97	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	4947337	4947558	-	NP_563952.1		NM_101312.3	NADH dehydrogenase (ubiquinone)s		838007	AT1G14450	222	73	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	5161645	5165139	-	NM_101366.3		NP_172950.1	O-fucosyltransferase family protein		838062	AT1G14970	2351	2351	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	5162085	5164917	-	NP_172950.1		NM_101366.3	O-fucosyltransferase family protein		838062	AT1G14970	1689	562	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	5250650	5252121	-	NM_101396.3		NP_563969.1	Translation machinery associated TMA7		838094	AT1G15270	479	479	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	5250833	5252020	-	NP_563969.1		NM_101396.3	Translation machinery associated TMA7		838094	AT1G15270	195	64	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	5393407	5394639	+	NM_101436.1		NP_173020.1	F-box family protein		838137	AT1G15680	1233	1233	partial
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	5393407	5394639	+	NP_173020.1		NM_101436.1	F-box family protein		838137	AT1G15680	1233	410	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	5407401	5410043	-	NM_101441.5		NP_173025.1	Cobalamin biosynthesis CobW-like protein		838142	AT1G15730	1587	1587	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	5407535	5409937	-	NP_173025.1		NM_101441.5	Cobalamin biosynthesis CobW-like protein		838142	AT1G15730	1347	448	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	5543119	5546103	+	NM_101486.3		NP_173070.1	Rad23 UV excision repair protein family	RAD23A	838188	AT1G16190	1466	1466	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	5543267	5545892	+	NP_173070.1		NM_101486.3	Rad23 UV excision repair protein family	RAD23A	838188	AT1G16190	1107	368	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6099039	6100397	+	NM_101635.5		NP_173215.1	vacuolar protein sorting 46.1	VPS46.1	838349	AT1G17730	1027	1027	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6099210	6100153	+	NP_173215.1		NM_101635.5	vacuolar protein sorting 46.1	VPS46.1	838349	AT1G17730	612	203	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6204331	6206988	+	NM_101665.3		NP_564045.1	Protein phosphatase 2C family protein		838383	AT1G18030	1435	1435	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6204400	6206678	+	NP_564045.1		NM_101665.3	Protein phosphatase 2C family protein		838383	AT1G18030	1056	351	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6528984	6532697	+	NM_101747.3		NP_173324.1	Pentatricopeptide repeat (PPR) superfamily protein		838471	AT1G18900	3119	3119	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6528984	6532614	+	NM_001332378.1		NP_001319039.1	Pentatricopeptide repeat (PPR) superfamily protein		838471	AT1G18900	3498	3498	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6529046	6532614	+	NM_202131.1		NP_973860.1	Pentatricopeptide repeat (PPR) superfamily protein		838471	AT1G18900	3197	3197	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6529778	6532360	+	NP_001319039.1		NM_001332378.1	Pentatricopeptide repeat (PPR) superfamily protein		838471	AT1G18900	2583	860	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6529778	6532360	+	NP_173324.1		NM_101747.3	Pentatricopeptide repeat (PPR) superfamily protein		838471	AT1G18900	2583	860	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6529778	6532360	+	NP_973860.1		NM_202131.1	Pentatricopeptide repeat (PPR) superfamily protein		838471	AT1G18900	2583	860	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6731411	6735024	-	NM_101801.3		NP_173377.1	Major facilitator superfamily protein		838529	AT1G19450	2118	2118	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6731671	6734633	-	NP_173377.1		NM_101801.3	Major facilitator superfamily protein		838529	AT1G19450	1467	488	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6765654	6768290	+	NM_101812.5		NP_173385.1	NmrA-like negative transcriptional regulator family protein		838541	AT1G19540	2035	2035	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	6765713	6767247	+	NP_173385.1		NM_101812.5	NmrA-like negative transcriptional regulator family protein		838541	AT1G19540	933	310	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7038527	7040231	-	NM_101884.4		NP_173458.1	sterol methyltransferase 2	SMT2	838621	AT1G20330	1705	1705	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7038968	7040053	-	NP_173458.1		NM_101884.4	sterol methyltransferase 2	SMT2	838621	AT1G20330	1086	361	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7084409	7086873	-	NM_101894.4		NP_173468.1	cold-regulated 47	COR47	838632	AT1G20440	2320	2320	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7084722	7085664	-	NP_173468.1		NM_101894.4	cold-regulated 47	COR47	838632	AT1G20440	798	265	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7115241	7118331	-	NM_101905.5		NP_173479.3	O-fucosyltransferase family protein		838643	AT1G20550	2334	2334	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7115485	7117936	-	NP_173479.3		NM_101905.5	O-fucosyltransferase family protein		838643	AT1G20550	1695	564	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7169309	7170856	+	NM_001198117.2		NP_001185046.1	transport/golgi organization-like protein (DUF833)		838656	AT1G20680	1134	1134	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7169382	7170587	+	NP_001185046.1		NM_001198117.2	transport/golgi organization-like protein (DUF833)		838656	AT1G20680	792	263	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7169402	7170796	+	NM_001332455.1		NP_001319053.1	transport/golgi organization-like protein (DUF833)		838656	AT1G20680	1025	1025	partial
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7169402	7170587	+	NP_001319053.1		NM_001332455.1	transport/golgi organization-like protein (DUF833)		838656	AT1G20680	816	271	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7182558	7184056	+	NM_101922.3		NP_173493.2	WUSCHEL related homeobox 14	WOX14	838660	AT1G20700	826	826	partial
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7182558	7183866	+	NP_173493.2		NM_101922.3	WUSCHEL related homeobox 14	WOX14	838660	AT1G20700	636	211	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7184485	7185267	+	NM_101923.1		NP_173494.1	WUSCHEL related homeobox 10	WOX10	838661	AT1G20710	594	594	partial
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7184485	7185267	+	NP_173494.1		NM_101923.1	WUSCHEL related homeobox 10	WOX10	838661	AT1G20710	594	197	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7285059	7289778	+	NM_001084102.1		NP_001077571.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein		838685	AT1G20920	4439	4439	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7286356	7288842	+	NP_001077571.1		NM_001084102.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein		838685	AT1G20920	2487	828	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7489046	7490803	-	NM_101991.3		NP_173561.2	embryo defective 2170	emb2170	838738	AT1G21390	1335	1335	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7489385	7490554	-	NP_173561.2		NM_101991.3	embryo defective 2170	emb2170	838738	AT1G21390	747	248	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7645610	7648855	+	NM_102024.4		NP_173594.1	PDI-like 1-1	PDIL1-1	838779	AT1G21750	2004	2004	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7645767	7648514	+	NP_173594.1		NM_102024.4	PDI-like 1-1	PDIL1-1	838779	AT1G21750	1506	501	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7858864	7859766	+	NM_102075.4		NP_173644.2	hypothetical protein		838830	AT1G22250	818	818	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7858961	7859648	+	NP_173644.2		NM_102075.4	hypothetical protein		838830	AT1G22250	603	200	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7987141	7989217	-	NM_102107.2		NP_173674.1	Late embryogenesis abundant protein (LEA) family protein		838866	AT1G22600	1355	1355	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	7987308	7989187	-	NP_173674.1		NM_102107.2	Late embryogenesis abundant protein (LEA) family protein		838866	AT1G22600	1158	385	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	8240145	8242261	+	NM_102170.2		NP_173735.1	glycosyl hydrolase 9B6	GH9B6	838930	AT1G23210	1631	1631	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	8240174	8242129	+	NP_173735.1		NM_102170.2	glycosyl hydrolase 9B6	GH9B6	838930	AT1G23210	1470	489	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	8894380	8897124	+	NM_102346.2		NP_173907.1	Pentatricopeptide repeat (PPR) superfamily protein		839121	AT1G25360	2745	2745	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	8894428	8896800	+	NP_173907.1		NM_102346.2	Pentatricopeptide repeat (PPR) superfamily protein		839121	AT1G25360	2373	790	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	8996714	8999917	-	NM_102369.3		NP_564238.2	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	SOG1	839145	AT1G25580	2017	2017	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	8997064	8999600	-	NP_564238.2		NM_102369.3	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	SOG1	839145	AT1G25580	1350	449	
